	EN-July	EN-June	EN-September	HB-July	HB-June	HB-September	Overall Accuracy
EN-July	0.8571428571428571	0.0	0.0	0.0	0.14285714285714285	0.0	
EN-June	0.0	0.5714285714285714	0.0	0.0	0.42857142857142855	0.0	
EN-September	0.14285714285714285	0.0	0.5714285714285714	0.2857142857142857	0.0	0.0	
HB-July	0.16666666666666666	0.0	0.0	0.8333333333333334	0.0	0.0	
HB-June	0.0	0.125	0.0	0.0	0.875	0.0	
HB-September	0.0	0.0	0.4	0.0	0.0	0.6	
Overall Accuracy							0.725
Baseline Accuracy							0.2
Accuracy Ratio							3.6249999999999996
